H NUM     Z    A ISOM  ABUNDANCE_MF  ISOTP
 # mod       10 dzeit  5.77E-02 agej  1.7100E-01
 # t9 =    5.500E-02 rho =    1.000E+02
 # densn  5.25883E+00
 # densp  4.24452E+25
 # densa  4.15132E+24
 # total_energy_flux_[erg/(g*s)]  5.26243E+08
  530    53. 120.   1   1.00004E-99  I 120
  531    53. 121.   1   1.00004E-99  I 121
  532    53. 122.   1   1.00004E-99  I 122
  533    53. 123.   1   1.00004E-99  I 123
  534    53. 124.   1   1.00004E-99  I 124
  535    53. 125.   1   2.34987E-14  I 125
  536    53. 126.   1   2.57168E-23  I 126
  537    53. 127.   1   2.88606E-09  I 127
  538    53. 128.   1   5.41575E-21  I 128
  539    53. 129.   1   5.59788E-13  I 129
  540    53. 130.   1   2.11076E-23  I 130
  541    53. 131.   1   1.14186E-15  I 131
  542    53. 132.   1   1.68829E-26  I 132
  543    53. 133.   1   7.13731E-31  I 133
  544    53. 134.   1   5.02163E-34  I 134
  545    53. 135.   1   1.00004E-99  I 135
  546    54. 118.   1   1.00004E-99  XE118
  547    54. 119.   1   1.00004E-99  XE119
  548    54. 120.   1   1.00004E-99  XE120
  549    54. 121.   1   1.00004E-99  XE121
  550    54. 122.   1   1.00004E-99  XE122
  551    54. 123.   1   1.00004E-99  XE123
  552    54. 124.   1   1.78708E-11  XE124
  553    54. 125.   1   1.97528E-21  XE125
  554    54. 126.   1   1.62024E-11  XE126
  555    54. 127.   1   6.40194E-15  XE127
  556    54. 128.   1   3.38932E-10  XE128
  557    54. 129.   1   4.17087E-09  XE129
  558    54. 130.   1   6.80462E-10  XE130
  559    54. 131.   1   3.37621E-09  XE131
  560    54. 132.   1   4.14371E-09  XE132
  561    54. 133.   1   1.21916E-16  XE133
  562    54. 134.   1   1.55596E-09  XE134
  563    54. 135.   1   1.80699E-21  XE135
  564    54. 136.   1   1.28304E-09  XE136
  565    54. 137.   1   1.26521E-24  XE137
  566    54. 138.   1   1.00000E-99  XE138
  567    55. 123.   1   1.00004E-99  CS123
  568    55. 124.   1   1.00004E-99  CS124
  569    55. 125.   1   1.00004E-99  CS125
  570    55. 126.   1   1.00004E-99  CS126
